,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg,ID.1,Epoche,dtm_Ivis_1,dtm_Ivis_2,dtm_Ivis_balladen_sup_1,dtm_Ivis_balladen_sup_2,sonett,dtm_Ivis_sonett_1,dtm_Ivis_sonett_2,bert_Ivis_sonett_1,bert_Ivis_sonett_2,bert_Ivis_sonett_sup_1,bert_Ivis_sonett_sup_2,bert_Ivis_1,bert_Ivis_2,bert_Ivis_sup_1,bert_Ivis_sup_2,dtm_Ivis_sup_1,dtm_Ivis_sup_2
4533,l0050258,Innere Kraft.,Otto Banck.,2,10,Blüthenzweige deutscher Lyrik nach Goethe,1875,"Willatzen, Peter Johann",l0050258,Realismus,-0.35727453,0.9807454,-3.536521,3.645103,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-5.5174335999999995,4.698455,-3.3360667,-2.9264784,-1.2711169,-0.041382212
856,l00110127,Interieur,"Dörmann, Felix",1,18,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",1904,"Benzmann, Hans",l00110127,Moderne,-1.011031,0.32877502,-3.642123,0.88093287,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-3.9871953,-1.718545,3.4048733999999996,-2.4727376,0.95245457,0.3832191
857,l00110128,Interieur,"Dörmann, Felix",1,22,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",1904,"Benzmann, Hans",l00110128,Moderne,0.31585455,1.1790398000000002,-3.2457955000000003,0.7507597,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-4.826996,-1.2870216,1.9569055,-3.253782,0.4396116,1.243578
1745,l00150023,Irdische Liebe,"Dransfeld, Hedwig",3,8,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",1911,"Huch, Margarete",l00150023,Moderne,1.5175687,-3.1672478,-3.5451370000000004,0.8184099,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-5.575299,1.4948713,-1.3710803,-3.9116273,1.7572006999999998,-0.43991452
1744,l00150022,Irdische Liebe,"Dransfeld, Hedwig",1,10,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",1911,"Huch, Margarete",l00150022,Moderne,-0.52869433,-3.8342538,-2.5519183,1.2846551000000002,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-5.546479,1.7731296000000003,-0.8000064,-4.369746,2.2983293999999996,-0.7756491
3983,l0040323,JJ.,Feodor Löwe.,2,4,Anthologie Deutscher Lyriker seit 1850,1865,"Kneschke, Emil",l0040323,Realismus,2.1785305,-2.452815,-4.4151816,1.3669003999999998,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-4.277659,3.4450605000000003,-2.608186,-2.3994298,-1.3575072,-0.270868
3979,l0040319,JJ.,Feodor Löwe.,4,4,Anthologie Deutscher Lyriker seit 1850,1865,"Kneschke, Emil",l0040319,Realismus,-2.6467614,-2.0842845000000003,-3.0735636000000004,1.7143366000000002,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-0.9595292,0.96978134,-0.94727296,0.32779336,-0.21377662,-1.3075994
3861,l0040201,JV.,Julius Hammer.,7,4,Anthologie Deutscher Lyriker seit 1850,1865,"Kneschke, Emil",l0040201,Realismus,-0.7566383000000001,-1.1494782,-2.9334612,0.71615577,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,0.3745013,3.1473124,-1.1812017,-0.07068744,-0.49976704,-0.7003539000000001
3868,l0040208,JV.,Julius Hammer.,10,4,Anthologie Deutscher Lyriker seit 1850,1865,"Kneschke, Emil",l0040208,Realismus,-2.2587037,0.18608385,-3.7326682,1.0628694,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,0.0077749609999999995,2.4103342999999997,-1.2260948,-0.4647099,-0.36759642,-0.60669065
5013,l0090068,"Ja, das möcht' ich noch erleben","Fontane, Theodor",4,8,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,1899,"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]",l0090068,Moderne,1.6713088,-0.9046212,-4.669668700000001,0.6096026,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,3.3468392,2.8904259999999997,0.4974804,-0.35301286,-0.37096640000000003,1.809286
